Fecha;Hora;Temperatura
06/23/23;12:00:00;9.866
06/23/23;1:00:00;10.748
06/23/23;2:00:00;14.134
06/23/23;3:00:00;13.654
06/23/23;4:00:00;10.748
06/23/23;5:00:00;11.431
06/23/23;6:00:00;7.28
06/23/23;7:00:00;5.45
06/23/23;8:00:00;4.831
06/23/23;9:00:00;4.519
06/23/23;10:00:00;4.519
06/23/23;11:00:00;4.207
06/24/23;12:00:00;4.102
06/24/23;1:00:00;4.102
06/24/23;2:00:00;3.998
06/24/23;3:00:00;4.102
06/24/23;4:00:00;4.207
06/24/23;5:00:00;4.207
06/24/23;6:00:00;3.998
06/24/23;7:00:00;4.415
06/24/23;8:00:00;4.727
06/24/23;9:00:00;5.962
06/24/23;10:00:00;7.481
06/24/23;11:00:00;10.063
06/24/23;12:00:00;13.269
06/24/23;1:00:00;10.944
06/24/23;2:00:00;8.182
06/24/23;3:00:00;9.866
06/24/23;4:00:00;10.748
06/24/23;5:00:00;7.381
06/24/23;6:00:00;6.978
06/24/23;7:00:00;5.244
06/24/23;8:00:00;5.037
06/24/23;9:00:00;5.037
06/24/23;10:00:00;5.037
06/24/23;11:00:00;4.727
06/25/23;12:00:00;4.831
06/25/23;1:00:00;4.415
06/25/23;2:00:00;4.415
06/25/23;3:00:00;4.519
06/25/23;4:00:00;4.311
06/25/23;5:00:00;4.415
06/25/23;6:00:00;4.311
06/25/23;7:00:00;4.415
06/25/23;8:00:00;4.831
06/25/23;9:00:00;5.655
06/25/23;10:00:00;7.079
06/25/23;11:00:00;8.182
06/25/23;12:00:00;6.978
06/25/23;1:00:00;9.373
06/25/23;2:00:00;9.669
06/25/23;3:00:00;9.571
06/25/23;4:00:00;10.748
06/25/23;5:00:00;6.877
06/25/23;6:00:00;5.347
06/25/23;7:00:00;4.831
06/25/23;8:00:00;4.727
06/25/23;9:00:00;4.623
06/25/23;10:00:00;4.727
06/25/23;11:00:00;4.727
06/26/23;12:00:00;4.519
06/26/23;1:00:00;3.788
06/26/23;2:00:00;3.472
06/26/23;3:00:00;2.837
06/26/23;4:00:00;3.261
06/26/23;5:00:00;3.261
06/26/23;6:00:00;3.367
06/26/23;7:00:00;3.788
06/26/23;8:00:00;5.757
06/26/23;9:00:00;6.37
06/26/23;10:00:00;6.978
06/26/23;11:00:00;7.079
06/26/23;12:00:00;7.28
06/26/23;1:00:00;8.481
06/26/23;2:00:00;8.581
06/26/23;3:00:00;7.179
06/26/23;4:00:00;6.37
06/26/23;5:00:00;6.268
06/26/23;6:00:00;4.727
06/26/23;7:00:00;4.102
06/26/23;8:00:00;3.893
06/26/23;9:00:00;3.893
06/26/23;10:00:00;3.998
06/26/23;11:00:00;4.102
06/27/23;12:00:00;4.102
06/27/23;1:00:00;4.102
06/27/23;2:00:00;3.998
06/27/23;3:00:00;3.893
06/27/23;4:00:00;3.998
06/27/23;5:00:00;3.998
06/27/23;6:00:00;3.998
06/27/23;7:00:00;4.311
06/27/23;8:00:00;5.141
06/27/23;9:00:00;6.064
06/27/23;10:00:00;6.064
06/27/23;11:00:00;6.674
06/27/23;12:00:00;7.582
06/27/23;1:00:00;7.582
06/27/23;2:00:00;11.528
06/27/23;3:00:00;8.879
06/27/23;4:00:00;8.182
06/27/23;5:00:00;5.962
06/27/23;6:00:00;5.347
06/27/23;7:00:00;4.831
06/27/23;8:00:00;4.519
06/27/23;9:00:00;4.311
06/27/23;10:00:00;4.102
06/27/23;11:00:00;4.102
06/28/23;12:00:00;3.998
06/28/23;1:00:00;3.788
06/28/23;2:00:00;3.578
06/28/23;3:00:00;3.049
06/28/23;4:00:00;2.41
06/28/23;5:00:00;1.112
06/28/23;6:00:00;2.195
06/28/23;7:00:00;3.155
06/28/23;8:00:00;4.519
06/28/23;9:00:00;6.674
06/28/23;10:00:00;8.282
06/28/23;11:00:00;8.879
06/28/23;12:00:00;8.978
06/28/23;1:00:00;10.161
06/28/23;2:00:00;11.236
06/28/23;3:00:00;12.013
06/28/23;4:00:00;12.11
06/28/23;5:00:00;7.983
06/28/23;6:00:00;5.86
06/28/23;7:00:00;5.347
06/28/23;8:00:00;5.037
06/28/23;9:00:00;4.519
06/28/23;10:00:00;4.623
06/28/23;11:00:00;4.831
06/29/23;12:00:00;4.831
06/29/23;1:00:00;4.519
06/29/23;2:00:00;3.998
06/29/23;3:00:00;3.893
06/29/23;4:00:00;3.788
06/29/23;5:00:00;3.788
06/29/23;6:00:00;4.207
06/29/23;7:00:00;4.415
06/29/23;8:00:00;5.141
06/29/23;9:00:00;6.268
06/29/23;10:00:00;7.28
06/29/23;11:00:00;9.077
06/29/23;12:00:00;10.944
06/29/23;1:00:00;9.275
06/29/23;2:00:00;10.846
06/29/23;3:00:00;12.69
06/29/23;4:00:00;8.282
06/29/23;5:00:00;7.079
06/29/23;6:00:00;5.655
06/29/23;7:00:00;4.727
06/29/23;8:00:00;4.311
06/29/23;9:00:00;4.207
06/29/23;10:00:00;4.207
06/29/23;11:00:00;4.311
06/30/23;12:00:00;4.207
06/30/23;1:00:00;3.683
06/30/23;2:00:00;3.998
06/30/23;3:00:00;4.102
06/30/23;4:00:00;4.102
06/30/23;5:00:00;4.102
06/30/23;6:00:00;4.207
06/30/23;7:00:00;4.415
06/30/23;8:00:00;5.552
06/30/23;9:00:00;5.962
06/30/23;10:00:00;7.381
06/30/23;11:00:00;6.064
06/30/23;12:00:00;7.882
06/30/23;1:00:00;6.978
06/30/23;2:00:00;8.581
